Simulation	SoftwareName	JaamSim	-
Simulation	SoftwareVersion	2022-07	-
Simulation	ConfigurationFile	C:\Users\dtvut\OneDrive\Desktop\NHH - Course\2nd semester\Project 2\Simulation models\Final\Scenario 9\Sim09 - 30 days - 1 rep - betadist.cfg	-
Simulation	ScenarioNumber	1.0	-
Simulation	ScenarioIndex	{ 1 }	-
Simulation	ReplicationNumber	1.0	-
Simulation	RunNumber	1.0	-
Simulation	RunIndex	{ 1 }	-
Simulation	PresentTimeAndDate	Apr 20, 2023 17:24	-
Simulation	InitializationDuration	0.0	min
Simulation	RunDuration	43200.0	min
Simulation	PresentSimulationTime	0.0	min

this.SimTime/1[min]	this.obj	this.obj.StateTimes("waiting")/1[min]	this.obj.StateTimes("walking")/1[min]	this.obj.TotalTime/1[min]	this.obj.serve/1[min]	this.obj.walk/1[min]	this.obj.type	[Truck_location_6].NumberInProgress	[Truck_location_6].RemainingTime	[Simulation].ScenarioNumber	[Simulation].ReplicationNumber
766.6925923666665	B2_noon_6	38.411347416666665	8.28124495	46.692592366666666	5.026162667919082	8.281244953753328	b217	1.0	{7.4776482833334414[min]}	1.0	1.0
767.9175864	B2_noon_9	41.794972566666665	6.122613833333333	47.9175864	5.959799782171527	6.122613828576383	b216	1.0	{6.252654250000067[min]}	1.0	1.0
769.7743748333334	B2_noon_3	43.85541956666667	5.918955266666667	49.77437483333333	4.3066698952214955	5.918955271652799	b214	1.0	{4.395865816666717[min]}	1.0	1.0
915.9948651166667	B2_afternoon_2	10.452567333333333	5.542297783333334	15.994865116666665	8.462837092791144	5.5422977900765655	b222	1.0	{1.3679885499999132[min]}	1.0	1.0
1962.7434047666668	B2_morning_4	5.2086573	7.5347474666666665	12.743404766666666	9.721847785006775	7.534747461192365	b21	1.0	{2.1218441499998297[min]}	1.0	1.0
1963.7885313666666	B2_morning_6	4.0790394	9.709491966666667	13.788531366666666	6.501976657381487	9.70949197097088	b23	1.0	{1.0767175499999477[min]}	1.0	1.0
2202.08531585	B2_noon_15	35.478225316666666	6.607090533333333	42.08531585	11.307593610716651	6.607090537274561	b26	1.0	{6.308620749999994[min]}	1.0	1.0
2206.571072683333	B2_noon_18	37.99805911666667	8.573013566666667	46.571072683333334	4.8559137439297615	8.573013568057002	b222	1.0	{1.822863916666705[min]}	1.0	1.0
3405.262644666667	B2_morning_10	5.343115549999999	9.919529116666666	15.262644666666665	4.817826212835792	9.91952912153016	b217	1.0	{5.148819399999835[min]}	1.0	1.0
3639.6587890666665	B2_noon_25	29.7766526	9.882136466666667	39.65878906666667	10.459074464202692	9.882136470661445	b210	1.0	{8.882508066666627[min]}	1.0	1.0
3642.42695075	B2_noon_27	32.72265875	9.704292	42.426950749999996	7.86875724109994	9.704292002902669	b220	1.0	{6.114346383333464[min]}	1.0	1.0
3643.508758816666	B2_noon_21	34.54077003333334	8.967988783333332	43.50875881666666	7.523252396786794	8.967988787674766	b27	1.0	{5.032538316667046[min]}	1.0	1.0
3644.3598144166667	B2_noon_26	35.6956556	8.664158816666665	44.35981441666666	6.976026747920964	8.66415882395499	b216	1.0	{4.181482716666695[min]}	1.0	1.0
4844.1586803499995	B2_morning_12	6.0822486499999995	8.076431699999999	14.15868035	7.764887947956634	8.07643170377189	b23	1.0	{3.2935209999998176[min]}	1.0	1.0
5081.364195533333	B2_noon_30	32.52597905	8.838216483333332	41.36419553333334	9.797587999682623	8.838216478480517	b210	1.0	{0.21381403333323779[min]}	1.0	1.0
5234.9047094	B2_afternoon_10	6.613571616666666	8.291137783333333	14.9047094	6.804152811609475	8.291137783384649	b29	1.0	{1.090128549999679[min]}	1.0	1.0
6280.091532933333	B2_morning_16	1.2944264833333332	8.79710645	10.091532933333333	11.111360605592841	8.797106455370539	b215	1.0	{1.3644457666668957[min]}	1.0	1.0
